Date,Time,T1_FD_INTENS_7
16-Feb-2024,12:28:51.84375,0
16-Feb-2024,20:19:24.59375,0
17-Feb-2024,04:09:55.25,0
17-Feb-2024,12:00:15.0625,0
17-Feb-2024,19:50:40.71875,0
18-Feb-2024,03:41:06.65625,0
18-Feb-2024,11:31:31.6875,0
18-Feb-2024,19:21:52.96875,0
19-Feb-2024,03:12:16.28125,0
19-Feb-2024,11:02:43.3125,0
19-Feb-2024,18:53:06.21875,0
20-Feb-2024,02:43:28.9375,0
20-Feb-2024,10:33:51.28125,0
20-Feb-2024,18:24:15,0
21-Feb-2024,02:14:40.375,0
21-Feb-2024,10:05:05.875,0
21-Feb-2024,17:55:26,0
22-Feb-2024,01:45:47.875,0
22-Feb-2024,09:36:11.03125,0
22-Feb-2024,17:26:37.28125,0
23-Feb-2024,01:16:53.375,0
23-Feb-2024,09:07:10.625,0
23-Feb-2024,16:57:31.375,0
24-Feb-2024,00:47:52.09375,0
24-Feb-2024,08:38:26.75,0
24-Feb-2024,16:28:59.25,0
25-Feb-2024,00:19:26.1875,0
25-Feb-2024,08:09:50.3125,0
25-Feb-2024,16:00:09.21875,0
25-Feb-2024,23:50:29.34375,0
26-Feb-2024,07:40:42.9375,0
26-Feb-2024,15:31:01.9375,0
26-Feb-2024,23:21:20.625,0
27-Feb-2024,07:11:44.96875,0
27-Feb-2024,15:02:18.1875,0
27-Feb-2024,22:52:51.25,0
28-Feb-2024,06:43:19,0
28-Feb-2024,14:33:47.25,0
28-Feb-2024,22:24:19.09375,0
29-Feb-2024,06:14:47.3125,0
29-Feb-2024,14:05:17.15625,0
29-Feb-2024,21:55:54.1875,0
1-Mar-2024,05:46:31.1875,0
1-Mar-2024,13:37:05.78125,0
1-Mar-2024,21:27:38.6875,0
2-Mar-2024,05:18:12.375,0
2-Mar-2024,13:08:42.25,0
2-Mar-2024,20:59:00.5625,0
3-Mar-2024,04:49:18.03125,0
3-Mar-2024,12:39:45.9375,0
3-Mar-2024,20:30:05.78125,0
4-Mar-2024,04:20:25.46875,0
4-Mar-2024,12:10:39.375,0
4-Mar-2024,20:00:58.59375,0
5-Mar-2024,03:51:23.25,0
5-Mar-2024,11:41:41.34375,0
5-Mar-2024,19:32:01.4375,0
6-Mar-2024,03:22:18.71875,0
6-Mar-2024,11:12:35.71875,0
6-Mar-2024,19:02:59.6875,0
7-Mar-2024,02:53:20.5625,0
7-Mar-2024,10:43:39.59375,0
7-Mar-2024,18:33:58.75,0
8-Mar-2024,02:24:19.65625,0
8-Mar-2024,10:14:44.5,0
8-Mar-2024,18:05:04.15625,0
9-Mar-2024,01:55:24.4375,0
9-Mar-2024,09:45:38.375,0
9-Mar-2024,17:36:04,0
10-Mar-2024,01:26:23.3125,0
10-Mar-2024,10:16:41.625,0
10-Mar-2024,18:07:01.84375,0
11-Mar-2024,01:57:17.0625,0
11-Mar-2024,09:47:40.5625,0
11-Mar-2024,17:38:05.90625,0
12-Mar-2024,01:28:25.875,0
12-Mar-2024,09:18:49.875,0
12-Mar-2024,17:09:04.9375,0
13-Mar-2024,00:59:24.75,0
13-Mar-2024,03:29:33.46875,0
13-Mar-2024,11:19:50.875,0
13-Mar-2024,19:10:12.5625,0
14-Mar-2024,03:00:37.53125,0
14-Mar-2024,10:50:58.1875,0
14-Mar-2024,18:41:16.1875,0
14-Mar-2024,19:53:03.5625,0
14-Mar-2024,19:53:58.625,Bad
14-Mar-2024,20:03:02.90625,0
15-Mar-2024,03:53:23.1875,0
15-Mar-2024,11:43:42.8125,0
15-Mar-2024,19:34:02.4375,0
16-Mar-2024,03:24:26.375,0
16-Mar-2024,11:14:53.75,0
16-Mar-2024,19:05:15.46875,0
17-Mar-2024,02:55:34.40625,0
17-Mar-2024,10:46:00.625,0
17-Mar-2024,18:36:25.40625,0
18-Mar-2024,02:26:44.34375,0
18-Mar-2024,10:17:04.1875,0
18-Mar-2024,18:07:20.21875,0
19-Mar-2024,01:57:39.9375,0
19-Mar-2024,09:47:58.46875,0
19-Mar-2024,17:38:28.96875,0
20-Mar-2024,01:28:58.15625,0
20-Mar-2024,09:19:27.4375,0
20-Mar-2024,17:09:48.875,0
21-Mar-2024,01:00:13,0
21-Mar-2024,08:50:38.5,0
21-Mar-2024,16:41:02.65625,0
22-Mar-2024,00:31:28.5,0
22-Mar-2024,08:21:50.71875,0
22-Mar-2024,16:12:22.96875,0
23-Mar-2024,00:02:54.5,0
23-Mar-2024,07:53:21.5,0
23-Mar-2024,11:28:55.71875,0
23-Mar-2024,19:19:20.15625,0
24-Mar-2024,03:09:40.375,0
24-Mar-2024,11:00:04.59375,0
24-Mar-2024,18:50:20.4375,0
25-Mar-2024,02:40:41.875,0
25-Mar-2024,10:31:07.40625,0
25-Mar-2024,18:21:26.96875,0
26-Mar-2024,02:11:47.875,0
26-Mar-2024,10:02:09.46875,0
26-Mar-2024,17:52:34.78125,0
27-Mar-2024,01:43:00.5,0
27-Mar-2024,09:33:20.5,0
27-Mar-2024,17:23:36.46875,0
28-Mar-2024,01:14:01.21875,0
28-Mar-2024,03:09:13.125,0
28-Mar-2024,10:59:34.625,0
28-Mar-2024,18:50:01.09375,0
29-Mar-2024,02:40:20.65625,0
29-Mar-2024,10:30:39.75,0
29-Mar-2024,18:21:00.53125,0
30-Mar-2024,02:11:20.78125,0
30-Mar-2024,04:41:25.21875,0
